url,FileSize,NumOfOutLink,ContentType
https://www.c-span.org/,70 KB,121,text/html
https://www.c-span.org/about/books/,33 KB,78,text/html
https://www.c-span.org/special/?lincolnBook,29 KB,56,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fspecial%2F%3FlincolnBook,35 KB,56,text/html
https://www.c-span.org/special/?grantsTomb,29 KB,56,text/html
https://www.c-span.org/about/mission/,30 KB,58,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fspecial%2F%3FgrantsTomb,35 KB,56,text/html
https://www.c-span.org/SundaysAtEight/,29 KB,56,text/html
https://www.c-span.org/series/?community,60 KB,103,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2FSundaysAtEight%2F,35 KB,56,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2Fbooks%2F,35 KB,56,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2Fmission%2F,35 KB,56,text/html
https://www.c-span.org/MyC-SPAN/resetPassword/,29 KB,55,text/html
https://www.c-span.org/search/?query=Q%26A&searchtype=All,34 KB,57,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fseries%2F%3Fcommunity,35 KB,56,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2FMyC-SPAN%2FresetPassword%2F,35 KB,56,text/html
https://www.c-span.org/search/?query=qa&searchtype=All,33 KB,56,text/html
https://www.c-span.org/about/faq/,47 KB,63,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fquery%3Dqa%26searchtype%3DAll,35 KB,57,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fquery%3DQ%2526A%26searchtype%3DAll,35 KB,57,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2Ffaq%2F,35 KB,56,text/html
https://www.c-span.org/about/pressCenter/,76 KB,216,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fquery%3DQ%26A&searchtype=All,35 KB,57,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fquery%3Dqa&searchtype=All,35 KB,57,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2FpressCenter%2F,35 KB,56,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fquery%3Dqa,35 KB,56,text/html
https://www.c-span.org/MyC-SPAN/login/?A&redir=%2Fsearch%2F%3Fquery%3DQ,35 KB,57,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fquery%3DQ,35 KB,56,text/html
https://www.c-span.org/search/?searchtype=Videos&tagid%5B%5D=5698,77 KB,97,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsearchtype%3DVideos%26tagid%255B%255D%3D5698,35 KB,57,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsearchtype%3DVideos&tagid%5B%5D=5698,35 KB,57,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsearchtype%3DVideos,35 KB,56,text/html
https://www.c-span.org/series/?bookTv,85 KB,196,text/html
https://www.c-span.org/MyC-SPAN/login/,35 KB,56,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2FMyC-SPAN%2Flogin%2F,35 KB,56,text/html
https://www.c-span.org/about/termsAndConditions/,39 KB,55,text/html
https://www.c-span.org/classroom/,53 KB,120,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2FtermsAndConditions%2F,35 KB,56,text/html
https://www.c-span.org/series/?washingtonJournal,62 KB,88,text/html
https://www.c-span.org/series/?PrimeMinisterQue,38 KB,73,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=5132,46 KB,56,text/html
https://www.c-span.org/series/?qa,41 KB,79,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=1162,69 KB,96,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=78,38 KB,105,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=59,39 KB,106,text/html
https://www.c-span.org/search/?searchtype=Clips&sort=Most%20Popular&tagid%5B%5D=5709,58 KB,95,text/html
https://www.c-span.org/classroom/contact/,11 KB,66,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=876,69 KB,96,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=1281,70 KB,96,text/html
https://www.c-span.org/series/?tocqueville,39 KB,74,text/html
https://www.c-span.org/series/?newsmakers,39 KB,73,text/html
https://www.c-span.org/classroom/document/?7702,13 KB,73,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=56,39 KB,106,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=263,58 KB,75,text/html
https://www.c-span.org/search/?searchtype=Clips&sort=Most%20Popular&tagid%5B%5D=1069,63 KB,97,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=23,70 KB,92,text/html
https://www.c-span.org/about/contactUs/,32 KB,63,text/html
https://www.c-span.org/about/copyrightsAndLicensing/,37 KB,55,text/html
https://www.c-span.org/series/?inDepth,50 KB,111,text/html
https://www.c-span.org/congress/,55 KB,98,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=76,40 KB,106,text/html
https://www.c-span.org/series/?bookfairs,74 KB,87,text/html
https://www.c-span.org/classroom/register/,23 KB,70,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=57,39 KB,105,text/html
https://www.c-span.org/series/?ahtv,88 KB,140,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=163,71 KB,96,text/html
https://www.c-span.org/series/?presidents,39 KB,70,text/html
https://www.c-span.org/classroom/login/?redir=classroom%2Fdocument%2F%3F7422,12 KB,67,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=77,36 KB,107,text/html
https://www.c-span.org/search/?sort=Newest&tagid%5B%5D=5698,73 KB,96,text/html
https://www.c-span.org/series/?afterWords,49 KB,112,text/html
https://www.c-span.org/series/?campaign2016,84 KB,191,text/html
https://www.c-span.org/search/?edate=02%2F20%2F2018&sdate=02%2F17%2F2018&searchtype=Videos&sort=Most%2BPopular,71 KB,98,text/html
https://www.c-span.org/series/browse/,39 KB,91,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=47,39 KB,106,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=74,38 KB,106,text/html
https://www.c-span.org/classroom/login/?redir=classroom%2Fdocument%2F%3F7592,12 KB,67,text/html
https://www.c-span.org/classroom/document/?7726,13 KB,74,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=165,71 KB,96,text/html
https://www.c-span.org/networks/,31 KB,67,text/html
https://www.c-span.org/about/history/,34 KB,60,text/html
https://www.c-span.org/about/milestones/,67 KB,101,text/html
